"","Segment","AvgBA","PercCorrMulch","PercUrbanApp","PercResTree","PercCOMM_MxTree","PercSC","PercGar3o4","PercDisc3o4","PercDBK5","PercCS4o5","SimpsonsDivSpp","SimpsonsDivGen","totNumTrees","Segment","PercRes_z","PercComm_z","PercInd_z","PercInst_z","PercPark_z","Segment","NumBuild","NumConst_since11","NumReno_since11","NumConst_since15","NumReno_since15","NumDemo","Segment","PercHispanicLatine11","PercHispanicLatine21","PercBlack11","PercBlack21","PercWhiteNonHL11","PercWhiteNonHL21","MedHouseInc11","MedHouseInc21","PercRent11","PercRent21","PercRMov11","PercRMov21","SVI","Avg_PRent","Avg_Rmov","AftTemp","Change_PHL","Change_PBl","Change_PWnHL","Change_MedHHI","AllConst_since11"
"1","128",0.0642587050881952,0.147058823529412,0.529411764705882,1,0,0.294117647058824,0.5,0.235294117647059,0.441176470588235,0.382352941176471,0.77681660899654,0.769896193771626,34,"128",1,1e-04,0,0,0,"128",30,1,8,0,1,0,"128",0.116756806879603,0.130693384675654,0.723459309832072,0.6336274284951,0.114281610292018,0.147424292855987,35255.6104796774,39795.0246337335,0.729473913348446,0.690383549411248,0.57011498474907,0.472191206621103,0.799145690708691,0.709928731379847,0.521153095685087,33.7914022222222,0.013936577796051,-0.0898318813369717,0.0331426825639681,4539.41415405617,9
"2","153",0.059088306399776,0.877358490566038,0.160377358490566,0.981132075471698,0,0.0377358490566038,0.0283018867924528,0.30188679245283,0.0660377358490566,0.245283018867925,0.864186543253827,0.819864720541118,106,"153",0.955766750225121,1e-04,0,0,0,"153",79,2,5,2,5,0,"153",0.115176715176715,0.106617052256916,0.220790020790021,0.167125060669795,0.506860706860707,0.493447662190584,110025.4022,120112,0.346077785102175,0.311168495803744,0.579433091628214,0.524209167204648,0.5232,0.32862314045296,0.551821129416431,33.2825005555556,-0.00855966291979883,-0.0536649601202263,-0.0134130446701228,10086.5978,7
"3","157",0.111533900926937,0.1125,0.3375,0.775,0.2125,0.2,0.325,0.175,0.1,0.15,0.9246875,0.90375,80,"157",0.538862700638463,0.408974282475088,0.0297511784712692,0.0224118384151799,0,"157",158,0,13,0,5,0,"157",0.915027793613801,0.943229028682067,0.0329520223588787,0.0401172015957706,0.04621526669499,0.0158933447499154,36657.4567544301,40991.8660404159,0.602941483706317,0.577722846850156,0.45951919339833,0.443110159070028,0.901913755236993,0.590332165278236,0.451314676234179,33.9888466666667,0.0282012350682657,0.00716517923689194,-0.0303219219450746,4334.40928598575,13
"4","16",0.233321941830711,0.0674157303370786,0.685393258426966,1,0,1e-04,0.0561797752808989,0.191011235955056,0.179775280898876,0.202247191011236,0.7453604342886,0.597146824895846,89,"16",0.912872732327796,0.00213155394916707,0.084995713723037,0,0,"16",234,1,11,1,7,0,"16",0.180670143169949,0.264411550065689,0.818108376667265,0.673071158364698,0.00209631203721916,0.0346052760813092,43127.6624729756,43311.6355042747,0.536816822193838,0.521808819516769,0.346920785007305,0.298984629790488,0.885784687565163,0.529312820855303,0.322952707398896,33.571625,0.0837414068957397,-0.145037218302567,0.0325089640440901,183.973031299094,12
"5","244",0.0996346711649088,0.166666666666667,0.423076923076923,0.961538461538462,0,0.102564102564103,0.102564102564103,0.294871794871795,0.0384615384615385,0.243589743589744,0.870151216305062,0.847797501643656,78,"244",0.528414139028532,1e-04,0,0.446067681095853,0,"244",162,0,15,0,11,1,"244",0.0196026948180324,0.019030297847289,0.948407891844391,0.899182581761208,0.0275969210961781,0.0338666826178541,31887.9134998617,25903.7866461234,0.595409344408353,0.696734556841615,0.485051924002647,0.340943271986412,0.857188398299557,0.646071950624984,0.41299759799453,33.2072705555556,-0.000572396970743457,-0.0492253100831832,0.00626976152167604,-5984.12685373828,15
"6","275",0.0875399128926738,0.366336633663366,0.475247524752475,0.683168316831683,0.0891089108910891,0.455445544554455,0.237623762376238,0.0891089108910891,0.0297029702970297,0.0297029702970297,0.867758062935006,0.863444760317616,101,"275",0.971177897608004,0.0288221023919957,0,0,0,"275",198,6,29,6,24,0,"275",0.107186048130705,0.231833628445779,0.204329472737896,0.262636140172791,0.338765997593212,0.302545960679624,79953.0040369031,90308.7191321945,0.418362429164386,0.422011519245083,0.385323819473234,0.447842355167924,0.234490340259185,0.420186974204735,0.416583087320579,33.5956194444445,0.124647580315075,0.0583066674348951,-0.0362200369135886,10355.7150952914,35
"8","281",0.0539759777637446,0.613636363636364,0.659090909090909,0.204545454545455,0.409090909090909,0.613636363636364,1e-04,0.204545454545455,0.363636363636364,0.340909090909091,0.870867768595041,0.796487603305785,44,"281",0.245451177790852,0.101828245189689,0.542132444270118,0,0.10189361748491,"281",65,0,18,0,18,0,"281",0.48438524392017,0.495916653708485,0.454590472416252,0.285701695739888,0.0594830519186748,0.186313464202616,30064.1491102011,56429.1380155833,0.716005881209872,0.696435806041411,0.5412431367011,0.466020768157254,0.676138806734594,0.706220843625642,0.503631952429177,33.3688822222222,0.0115314097883147,-0.168888776676363,0.126830412283941,26364.9889053822,18
"9","292",0.103385830176077,0.257575757575758,0.424242424242424,0.909090909090909,0.0303030303030303,0.46969696969697,0.454545454545455,0.106060606060606,0.0454545454545455,0.0606060606060606,0.880624426078972,0.870982552800735,66,"292",0.733678212808531,0.16970266346189,0,0,0.0966191237295787,"292",146,14,34,9,24,0,"292",0.267131481430627,0.237427607978969,0.0580674747835069,0.0522414439837133,0.580818905156468,0.624756825026136,76719.9707129989,114934.519808201,0.625264765250666,0.613547260977842,0.621312967136824,0.638686108774564,0.327055915618404,0.619406013114254,0.629999537955694,33.6385388888889,-0.0297038734516576,-0.00582603079979354,0.0439379198696683,38214.5490952026,48
"10","306",0.135164170854357,0.145631067961165,0.339805825242718,0.961165048543689,0.00970873786407767,0.0970873786407767,0.213592233009709,0.184466019417476,0.058252427184466,0.0970873786407767,0.907342822132152,0.87265529267603,103,"306",0.910101806544375,0.0144940980032931,0.0754040954523318,0,0,"306",207,1,19,1,18,0,"306",0.693891509903961,0.67461042273855,0.1804096373975,0.121773822629341,0.0973260609411404,0.181783216640696,46973.4624413292,59693.193166626,0.573788397596018,0.51165775245264,0.394790370810337,0.395928061380399,0.781996976249433,0.542723075024329,0.395359216095368,33.1203588888889,-0.019281087165411,-0.0586358147681586,0.0844571556995556,12719.7307252967,20
"11","324",0.163332573957746,0.393617021276596,0.276595744680851,0.946808510638298,0.0531914893617021,0.180851063829787,0.595744680851064,0.0957446808510638,0.0212765957446809,0.074468085106383,0.925079221367134,0.875735626980534,94,"324",0.561831528224989,0.433045867014929,0.00392920672806287,0,0,"324",188,12,44,10,38,0,"324",0.115730911481053,0.0574609352443882,0.00439539921224204,0.0488431161948665,0.804340968763319,0.731763172183405,133645.287972039,143395.482459696,0.461608402341061,0.486840912584942,0.551448746558519,0.614736600251512,0.0391475141853553,0.474224657463001,0.583092673405015,34.1341611111111,-0.0582699762366649,0.0444477169826245,-0.0725777965799138,9750.1944876565,56
"12","49",0.121144575460155,0.123595505617978,0.303370786516854,0.921348314606741,0.0674157303370786,0.0337078651685393,0.146067415730337,0.146067415730337,0.0561797752808989,0.123595505617978,0.927660648907966,0.908218659260194,89,"49",0.792330990342305,0.0729984570546888,0.0603348762786445,0.0743356763243614,0,"49",223,0,6,0,5,0,"49",0.945444095892692,0.978684948533266,0.0350395897533604,0.0100244820389907,0.0170545388564402,0.0206985619352893,45216.9243115053,41118.6838216794,0.549583541869515,0.585904950967576,0.331838445765373,0.218029793371299,0.863551444452069,0.567744246418546,0.274934119568336,33.7154772222222,0.0332408526405739,-0.0250151077143698,0.00364402307884907,-4098.24048982593,6
"13","55",0.0504571008166234,0.275862068965517,0.637931034482759,0.224137931034483,0.655172413793103,0.293103448275862,0.0689655172413793,0.0862068965517241,0.0517241379310345,0.0689655172413793,0.746135552913199,0.744946492271106,58,"55",0.425825928457507,0.131544771018455,0,0.440202779676464,0,"55",31,2,9,2,7,0,"55",0.0862668152899447,0.0829948424490456,0.801821416784535,0.564567333226505,0.0730986448008891,0.197397729474436,17287.4258917881,29897.0036578279,0.885588716485938,0.712817268069294,0.615979217517835,0.622141569245818,0.96585293708764,0.799202992277616,0.619060393381826,33.7751772222222,-0.0032719728408991,-0.23725408355803,0.124299084673547,12609.5777660398,11
"14","57",0.177575002665369,0.1875,0.40625,0.9375,0.015625,1e-04,0.1875,0.03125,0.0625,0.046875,0.787109375,0.72607421875,64,"57",0.818397565462267,0.181602434537733,0,0,0,"57",150,0,6,0,6,0,"57",0.00329623117688711,0.0146313050967619,0.988008429248662,0.964273807802034,0.00590499258693336,0.00756700862832586,41676.789832353,37191.6254400109,0.722560840399981,0.732697477704362,0.391430035833332,0.426576132858491,0.985827318147753,0.727629159052172,0.409003084345912,33.7648011111111,0.0113350739198748,-0.0237346214466283,0.0016620160413925,-4485.1643923421,6
